product_category,product_name,github_link,sample_language
Networking,Service Directory,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/service-directory/snippets/resolveService.js,JavaScript
App development,Workflows,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/workflows/quickstart/index.ts,JavaScript
Data analytics and pipelines,Dataproc,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/dataproc/snippets/single_job_workflow.py,Python
Security,Identity-Aware Proxy (IAP),https://github.com/GoogleCloudPlatform/ruby-docs-samples/blob/main/iap/iap.rb,Ruby
Storage,Filestore,https://github.com/googleapis/google-cloud-node/blob/main/packages/google-cloud-parallelstore/samples/quickstart.js,JavaScript
Networking,Cloud VPN,https://github.com/terraform-google-modules/terraform-docs-samples/blob/main/network_management/vpcflowlogs/vpn_tunnel_full/main.tf,Terraform
Observability and monitoring,Profiler,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/profiler/export/main.go,Go
Observability and monitoring,Profiler,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/profiler/profiler_quickstart/main.go,Go
Security,reCAPTCHA,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/recaptcha_enterprise/snippets/src/main/java/recaptcha/GetSiteKey.java,Java
App development,Artifact Analysis,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/container-analysis/snippets/createOccurrence.js,JavaScript
Industry solutions,Vertex AI Search for retail,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/retail/interactive-tutorials/search/search-simple-query.js,JavaScript
Observability and monitoring,Error Reporting,https://github.com/GoogleCloudPlatform/php-docs-samples/blob/main/error_reporting/quickstart.php,PHP
Security,reCAPTCHA,https://github.com/googleapis/google-cloud-ruby/blob/main/google-cloud-recaptcha_enterprise/samples/recaptcha_enterprise_migrate_site_key.rb,Ruby
AI and ML,TensorFlow Enterprise,https://github.com/googleapis/python-bigquery-dataframes/blob/main/samples/snippets/imported_tensorflow_model_test.py,Python
Networking,Cloud DNS,https://github.com/terraform-google-modules/terraform-docs-samples/blob/main/dns/managed_zone_service_directory/main.tf,Terraform
Compute,Anthos,https://github.com/GoogleCloudPlatform/anthos-samples/blob/main/anthos-onprem-terraform/abm_user_cluster_manuallb/main.tf,Terraform
Other,Java,https://github.com/GoogleCloudPlatform/getting-started-java/blob/main/background/src/main/java/com/getstarted/background/util/BackgroundContextListener.java,Java
Other,Java,https://github.com/GoogleCloudPlatform/getting-started-java/blob/main/bookshelf-standard/2-structured-data/src/main/java/com/example/getstarted/daos/BookDao.java,Java
App development,Artifact Analysis,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/container-registry/container-analysis/src/main/java/com/example/containeranalysis/GetOccurrence.java,Java
Industry solutions,Vertex AI Search for retail,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/retail/interactive-tutorials/product/update-product.js,JavaScript
Storage,Storage Control,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/storage-control/deleteFolder.js,JavaScript
App development,Workflows,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/workflows/quickstart/index.js,JavaScript
Data analytics and pipelines,Cloud Composer,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/composer/airflow_1_samples/simple.py,Python
App development,Workflows,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/composer/workflows/email_operator_sendgrid.py,Python
App development,Artifact Analysis,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/containeranalysis/snippets/create_occurrence.py,Python
App development,Artifact Analysis,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/containeranalysis/snippets/get_occurrences_for_note.py,Python
AI and ML,Enterprise Knowledge Graph,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/enterpriseknowledgegraph/search/lookup_sample.py,Python
Security,reCAPTCHA,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/recaptcha_enterprise/snippets/create_site_key.py,Python
App development,Cloud Debugger,https://github.com/GoogleCloudPlatform/training-data-analyst/blob/master/courses/developingapps/v1.2/nodejs/stackdriver-debug-errorreporting/bonus/quiz-app/web-app/questions.js,JavaScript
App development,Cloud Debugger,https://github.com/GoogleCloudPlatform/training-data-analyst/blob/master/courses/developingapps/v1.2/nodejs/stackdriver-debug-errorreporting/end/quiz-app/web-app/questions.js,JavaScript
Observability and monitoring,Trace,https://github.com/googleapis/python-storage/blob/main/samples/snippets/storage_trace_quickstart.py,Python
Storage,Backup and DR Service,https://github.com/terraform-google-modules/terraform-docs-samples/blob/main/backupdr/backup_plan/main.tf,Terraform
Networking,Cloud Load Balancing,https://github.com/terraform-google-modules/terraform-docs-samples/blob/main/lb/url_map_bucket_and_service/main.tf,Terraform
Networking,Traffic Director,https://github.com/terraform-google-modules/terraform-docs-samples/blob/main/traffic_director/url_map_traffic_director_path/main.tf,Terraform
App development,Workflows,https://github.com/terraform-google-modules/terraform-docs-samples/blob/main/workflows/basic/main.tf,Terraform
App development,Artifact Analysis,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/container-registry/container-analysis/src/main/java/com/example/containeranalysis/CreateNote.java,Java
Industry solutions,Vertex AI Search for retail,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/retail/interactive-tutorials/search/search_with_ordering.py,Python
Compute,VMware Engine,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/vmwareengine/cloud-client/list_locations.py,Python
App development,Cloud Debugger,https://github.com/GoogleCloudPlatform/ruby-docs-samples/blob/main/stackdriver/sinatra_logging.rb,Ruby
Security,Resource Manager,https://github.com/googleapis/google-cloud-node/blob/main/packages/google-cloud-orgpolicy/samples/quickstart.js,JavaScript
Databases,Memorystore for Memcached,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/memorystore/snippets/connect_to_db.go,Go
AI and ML,Contact Center AI,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/contact-center-insights/src/main/java/com/example/contactcenterinsights/ExportToBigquery.java,Java
Data analytics and pipelines,Dataflow,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/dataflow/snippets/src/main/java/com/example/dataflow/ApacheIcebergDynamicDestinations.java,Java
App development,Eventarc,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/eventarc/audit-storage/src/main/java/com/example/cloudrun/EventController.java,Java
Networking,Service Directory,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/servicedirectory/src/main/java/com/example/servicedirectory/ServicesDelete.java,Java
Security,Web Risk,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/webrisk/src/main/java/webrisk/SearchUri.java,Java
Security,reCAPTCHA,https://github.com/GoogleCloudPlatform/php-docs-samples/blob/main/recaptcha/src/create_key.php,PHP
App development,Eventarc,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/eventarc/audit-storage/main.py,Python
App development,Eventarc,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/eventarc/generic/main.py,Python
Security,Identity-Aware Proxy (IAP),https://github.com/GoogleCloudPlatform/dotnet-docs-samples/blob/main/identity-aware-proxy/IAPClient/IAPTokenVerification.cs,C#
App development,Eventarc,https://github.com/GoogleCloudPlatform/eventarc-samples/blob/main/terraform/eventarc-gke/trigger-gke-eventarc-events/terraform/gke/main.tf,Terraform
Observability and monitoring,Trace,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/opentelemetry/instrumentation/app/setup.go,Go
Storage,Storage Control,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/storage-control/getManagedFolder.js,JavaScript
App development,Workflows,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/workflows/invoke-private-endpoint/app.js,JavaScript
Databases,Memorystore for Memcached,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/memorystore/memcache/quickstart.py,Python
App development,Apigee,https://github.com/googleapis/google-cloud-node/blob/main/packages/google-cloud-apigeeconnect/samples/quickstart.js,JavaScript
App development,Cloud Deploy,https://github.com/googleapis/google-cloud-node/blob/main/packages/google-cloud-deploy/samples/quickstart.js,JavaScript
Databases,AlloyDB for PostgreSQL,https://github.com/GoogleCloudPlatform/alloydb-python-connector/blob/main/tests/system/test_pg8000_iam_authn.py,Python
Industry solutions,Vertex AI Search for retail,https://github.com/GoogleCloudPlatform/dotnet-docs-samples/blob/main/retail/interactive-tutorial/RetailSearch.Samples/SearchSimpleQuerySample.cs,C#
App development,Cloud Debugger,https://github.com/GoogleCloudPlatform/php-docs-samples/blob/main/debugger/web/index.php,PHP
App development,Cloud Shell,https://github.com/googleapis/google-cloud-node/blob/main/packages/google-cloud-shell/samples/quickstart.js,JavaScript
Networking,Cloud DNS,https://github.com/terraform-google-modules/terraform-docs-samples/blob/main/dns/managed_zone_basic/main.tf,Terraform
Networking,Cloud Load Balancing,https://github.com/terraform-google-modules/terraform-docs-samples/blob/main/lb/shared_vpc_https_ilb_with_mig_backend_basic_example/main.tf,Terraform
Databases,AlloyDB for PostgreSQL,https://github.com/GoogleCloudPlatform/alloydb-java-connector/blob/main/alloydb-jdbc-connector/src/test/java/com/google/cloud/alloydb/AlloyDbJdbcConnectorDataSourceFactory.java,Java
Data analytics and pipelines,Cloud Composer,https://github.com/GoogleCloudPlatform/composer-infra-python/blob/master/sensor/dags/gcp_custom_ops/gce_commands.py,Python
Other,Google Analytics Data API,https://github.com/GoogleCloudPlatform/php-docs-samples/blob/main/analyticsdata/src/get_common_metadata.php,PHP
Data analytics and pipelines,Cloud Composer,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/composer/airflow_1_samples/relationship_parent.py,Python
App development,Cloud Debugger,https://github.com/GoogleCloudPlatform/training-data-analyst/blob/master/courses/developingapps/v1.3/nodejs/stackdriver-debug-errorreporting/start/quiz-app/gcp/datastore.js,JavaScript
App development,Cloud Debugger,https://github.com/GoogleCloudPlatform/training-data-analyst/blob/master/courses/developingapps/v1.3/nodejs/stackdriver-trace-monitoring/end/frontend/web-app/questions.js,JavaScript
Networking,Cloud Load Balancing,https://github.com/terraform-google-modules/terraform-docs-samples/blob/main/lb/external_http_lb_mig_backend/main.tf,Terraform
Networking,Service Directory,https://github.com/GoogleCloudPlatform/dotnet-docs-samples/blob/main/servicedirectory/api/ServiceDirectory.Samples/DeleteEndpoint.cs,C#
Industry solutions,Vertex AI Search for retail,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/retail/interactive-tutorials/product/delete-product.js,JavaScript
Data analytics and pipelines,Cloud Composer,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/composer/airflow_1_samples/use_local_deps.py,Python
App development,Workflows,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/composer/workflows/relationship_parent.py,Python
App development,Cloud Debugger,https://github.com/GoogleCloudPlatform/training-data-analyst/blob/master/courses/developingapps/v1.2/nodejs/stackdriver-trace-monitoring/start/frontend/gcp/datastore.js,JavaScript
App development,Artifact Analysis,https://github.com/googleapis/google-cloud-node/blob/main/packages/grafeas/samples/quickstart.js,JavaScript
Security,reCAPTCHA,https://github.com/googleapis/google-cloud-ruby/blob/main/google-cloud-recaptcha_enterprise/samples/recaptcha_enterprise_get_metrics_site_key.rb,Ruby
Networking,Service Directory,https://github.com/googleapis/google-cloud-ruby/blob/main/google-cloud-service_directory/samples/quickstart.rb,Ruby
Data analytics and pipelines,Looker,https://github.com/terraform-google-modules/terraform-docs-samples/blob/main/looker/looker_instance_enterprise_full/main.tf,Terraform
Compute,Anthos,https://github.com/GoogleCloudPlatform/anthos-config-management-samples/blob/main/fleet-tenancy/terraform/1-fleet/variables.tf,Terraform
Compute,Anthos,https://github.com/GoogleCloudPlatform/anthos-samples/blob/main/anthos-onprem-terraform/abm_user_cluster_metallb/main.tf,Terraform
Other,C#,https://github.com/GoogleCloudPlatform/getting-started-dotnet/blob/main/Bookshelf/Models/Book.cs,C#
Other,Java,https://github.com/GoogleCloudPlatform/getting-started-java/blob/main/bookshelf-standard/3-binary-data/src/main/java/com/example/getstarted/basicactions/ReadBookServlet.java,Java
Other,PHP,https://github.com/GoogleCloudPlatform/getting-started-php/blob/master/background-processing/app/routes/web.php,PHP
Networking,Service Directory,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/servicedirectory/create_namespace.go,Go
AI and ML,Contact Center AI,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/contact-center-insights/src/main/java/com/example/contactcenterinsights/CreatePhraseMatcherAllOf.java,Java
Industry solutions,Vertex AI Search for retail,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/retail/interactive-tutorials/src/main/java/search/SearchWithPagination.java,Java
Storage,Storage Control,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/storage-control/createManagedFolder.js,JavaScript
App development,Cloud Build,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/cloudbuild/snippets/quickstart.py,Python
Security,reCAPTCHA,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/recaptcha_enterprise/snippets/annotate_assessment.py,Python
Compute,VMware Engine,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/vmwareengine/cloud-client/get_operation.py,Python
App development,Cloud Debugger,https://github.com/GoogleCloudPlatform/training-data-analyst/blob/master/courses/developingapps/v1.3/nodejs/stackdriver-debug-errorreporting/end/setup/datastore.js,JavaScript
Data analytics and pipelines,Cloud Composer,https://github.com/terraform-google-modules/terraform-docs-samples/blob/main/composer/multi_project_monitoring/main.tf,Terraform
Observability and monitoring,Trace,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/opentelemetry/trace/main.go,Go
Databases,Memorystore for Memcached,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/memorystore/redis/src/main/java/com/example/redis/VisitCounterServlet.java,Java
Industry solutions,Vertex AI Search for retail,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/retail/interactive-tutorials/src/main/java/product/CreateProduct.java,Java
App development,Artifact Analysis,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/container-analysis/snippets/highVulnerabilitiesForImage.js,JavaScript
App development,Workflows,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/workflows/list-workflows.ts,JavaScript
Industry solutions,Vertex AI Search for retail,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/retail/interactive-tutorials/product/set_inventory.py,Python
AI and ML,TensorFlow Enterprise,https://github.com/GoogleCloudPlatform/tensorflow-lifetime-value/blob/master/clv_mle/trainer/task.py,Python
App development,Cloud Debugger,https://github.com/GoogleCloudPlatform/training-data-analyst/blob/master/courses/developingapps/nodejs/stackdriver-trace-monitoring/start/frontend/web-app/questions.js,JavaScript
Networking,Cloud DNS,https://github.com/googleapis/google-cloud-node/blob/main/packages/google-cloud-dns/samples/quickstart.js,JavaScript
Data analytics and pipelines,Looker,https://github.com/terraform-google-modules/terraform-docs-samples/blob/main/looker/looker_instance_full/main.tf,Terraform
Compute,Anthos,https://github.com/GoogleCloudPlatform/anthos-config-management-samples/blob/main/fleet-tenancy/terraform/2-fleet-default-config/variables.tf,Terraform
App development,Artifact Analysis,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/container-registry/container-analysis/src/main/java/com/example/containeranalysis/Subscriptions.java,Java
App development,Artifact Analysis,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/container-analysis/snippets/createNote.js,JavaScript
Networking,Service Directory,https://github.com/GoogleCloudPlatform/php-docs-samples/blob/main/servicedirectory/src/delete_namespace.php,PHP
Data analytics and pipelines,Cloud Composer,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/composer/airflow_1_samples/trigger_response_dag.py,Python
App development,Eventarc,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/eventarc/pubsub/main.py,Python
AI and ML,TensorFlow Enterprise,https://github.com/GoogleCloudPlatform/tensorflow-lifetime-value/blob/master/clv_mle/trainer/model.py,Python
App development,Cloud Debugger,https://github.com/GoogleCloudPlatform/training-data-analyst/blob/master/courses/developingapps/v1.2/nodejs/stackdriver-debug-errorreporting/start/quiz-app/gcp/datastore.js,JavaScript
Databases,AlloyDB for PostgreSQL,https://github.com/GoogleCloudPlatform/alloydb-python-connector/blob/main/tests/system/test_pg8000_public_ip.py,Python
App development,Eventarc,https://github.com/GoogleCloudPlatform/dotnet-docs-samples/blob/main/eventarc/audit-storage/Startup.cs,C#
Other,Java,https://github.com/GoogleCloudPlatform/getting-started-java/blob/main/bookshelf-standard/3-binary-data/src/main/java/com/example/getstarted/objects/Result.java,Java
AI and ML,Contact Center AI,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/contact-center-insights/src/main/java/com/example/contactcenterinsights/CreateIssueModel.java,Java
Security,reCAPTCHA,https://github.com/GoogleCloudPlatform/php-docs-samples/blob/main/recaptcha/src/update_key.php,PHP
Security,Identity-Aware Proxy (IAP),https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/iap/generate_self_signed_jwt.py,Python
Networking,Virtual Private Cloud (VPC),https://github.com/terraform-google-modules/terraform-google-network/blob/main/examples/simple_ipv6_project/main.tf,Terraform
App development,Workflows,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/composer/workflows/grouping.py,Python
App development,Workflows,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/workflows/cloud-client/src/main/java/com/example/workflows/WorkflowsQuickstart.java,Java
App development,Cloud Build,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/cloudbuild/listBuildTriggers.js,JavaScript
App development,Cloud Scheduler,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/scheduler/createJob.js,JavaScript
Compute,VMware Engine,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/vmwareengine/cloud-client/delete_legacy_network.py,Python
App development,Cloud Debugger,https://github.com/GoogleCloudPlatform/training-data-analyst/blob/master/courses/developingapps/v1.2/nodejs/stackdriver-debug-errorreporting/start/quiz-app/gcp/cloudstorage.js,JavaScript
Observability and monitoring,Profiler,https://github.com/googleapis/cloud-profiler-nodejs/blob/main/samples/app.js,JavaScript
Other,Python,https://github.com/GoogleCloudPlatform/getting-started-python/blob/main/bookshelf/main.py,Python
Data analytics and pipelines,Cloud Composer,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/composer/airflow_1_samples/dataflowtemplateoperator_tutorial.py,Python
Observability and monitoring,Profiler,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/profiler/quickstart/main.py,Python
Data analytics and pipelines,Dataflow,https://github.com/GoogleCloudPlatform/training-data-analyst/blob/master/blogs/tf_dataflow_serving/pipelines/stream_process.py,Python
App development,Cloud Deploy,https://github.com/googleapis/nodejs-cloud-rad/blob/main/test/fixtures/google-cloud-deploy/samples/quickstart.js,JavaScript
Networking,Cloud DNS,https://github.com/terraform-google-modules/terraform-docs-samples/blob/main/dns/managed_zone_quickstart/main.tf,Terraform
Networking,Cloud DNS,https://github.com/terraform-google-modules/terraform-docs-samples/blob/main/dns/response_policy_basic/main.tf,Terraform
Databases,AlloyDB for PostgreSQL,https://github.com/GoogleCloudPlatform/alloydb-java-connector/blob/main/alloydb-jdbc-connector/src/test/java/com/google/cloud/alloydb/AlloyDbJdbcServiceAccountImpersonationDataSourceFactory.java,Java
App development,Eventarc,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/eventarc/storage_handler/main.go,Go
App development,Workflows,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/composer/workflows/gke_operator.py,Python
Data analytics and pipelines,Dataproc,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/dataproc/snippets/pyspark_sort.py,Python
Industry solutions,Vertex AI Search for retail,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/retail/interactive-tutorials/search/search_with_filtering.py,Python
Storage,Storage Control,https://github.com/googleapis/google-cloud-ruby/blob/main/google-cloud-storage-control/samples/storage_control_get_folder.rb,Ruby
Networking,Cloud Load Balancing,https://github.com/terraform-google-modules/terraform-docs-samples/blob/main/lb/external_ssl_proxy_lb_mig_backend/main.tf,Terraform
Networking,Cloud Load Balancing,https://github.com/terraform-google-modules/terraform-google-lb-internal/blob/main/examples/minimal/main.tf,Terraform
AI and ML,Contact Center AI,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/contact-center-insights/createPhraseMatcherAnyOf.js,JavaScript
Networking,Service Directory,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/service-directory/snippets/deleteNamespace.js,JavaScript
App development,Artifact Analysis,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/containeranalysis/snippets/poll_discovery_finished.py,Python
Security,reCAPTCHA,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/recaptcha_enterprise/snippets/get_site_key.py,Python
Industry solutions,Vertex AI Search for retail,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/retail/interactive-tutorials/search/search_with_boost_spec.py,Python
Compute,VMware Engine,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/vmwareengine/cloud-client/update_cluster.py,Python
Networking,Cloud Load Balancing,https://github.com/terraform-google-modules/terraform-docs-samples/blob/main/lb/target_https_proxy_basic/main.tf,Terraform
Compute,Anthos,https://github.com/GoogleCloudPlatform/anthos-samples/blob/main/anthos-bm-openstack-terraform/variables.tf,Terraform
Security,Identity-Aware Proxy (IAP),https://github.com/GoogleCloudPlatform/dotnet-docs-samples/blob/main/identity-aware-proxy/IAPClient/IAPClient.cs,C#
Other,Python,https://github.com/GoogleCloudPlatform/getting-started-python/blob/main/background/function/main.py,Python
App development,Workflows,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/workflows/executions/execute_workflow_with_arguments.go,Go
App development,Artifact Analysis,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/container-registry/container-analysis/src/main/java/com/example/containeranalysis/GetNote.java,Java
Security,reCAPTCHA,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/recaptcha_enterprise/snippets/src/main/java/recaptcha/DeleteSiteKey.java,Java
AI and ML,Contact Center AI,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/contact-center-insights/setProjectTtl.js,JavaScript
Data analytics and pipelines,Cloud Composer,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/composer/airflow_1_samples/airflow_db_cleanup.py,Python
Data analytics and pipelines,Cloud Composer,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/composer/airflow_1_samples/relationship_child.py,Python
App development,Cloud Debugger,https://github.com/GoogleCloudPlatform/training-data-analyst/blob/master/courses/developingapps/v1.3/nodejs/stackdriver-debug-errorreporting/bonus/quiz-app/gcp/cloudstorage.js,JavaScript
Networking,Cloud Load Balancing,https://github.com/terraform-google-modules/terraform-docs-samples/blob/main/lb/internal_http_lb_with_mig_backend/main.tf,Terraform
App development,Cloud Scheduler,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/cloud_scheduler/snippets/delete_job.py,Python
Data analytics and pipelines,Cloud Composer,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/composer/2022_airflow_summit/data_analytics_dag.py,Python
Storage,Backup and DR Service,https://github.com/terraform-google-modules/terraform-docs-samples/blob/main/backupdr/backup_vault/main.tf,Terraform
Databases,AlloyDB for PostgreSQL,https://github.com/GoogleCloudPlatform/alloydb-python-connector/blob/main/tests/system/test_psycopg2_direct_connection.py,Python
Other,C#,https://github.com/GoogleCloudPlatform/getting-started-dotnet/blob/main/Sessions/Startup.cs,C#
Other,PHP,https://github.com/GoogleCloudPlatform/getting-started-php/blob/master/background-processing/app/index.php,PHP
App development,Eventarc,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/eventarc/storage_handler/handler_test.go,Go
Databases,Memorystore for Memcached,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/memorystore/redis/main.go,Go
Industry solutions,Vertex AI Search for retail,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/retail/interactive-tutorials/src/main/java/product/DeleteProduct.java,Java
App development,Cloud Build,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/cloudbuild/quickstart.js,JavaScript
App development,Artifact Analysis,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/container-analysis/snippets/getNote.js,JavaScript
Data analytics and pipelines,Cloud Composer,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/composer/airflow_1_samples/connections.py,Python
Data analytics and pipelines,Dataproc,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/dataproc/snippets/submit_job_to_cluster.py,Python
